County,lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,compactness,thumbnail_url
Maricopa AZ SE Valley,33.197819,-111.797131,-0.63,262,6.47,95,ACTIVE DEVELOPMENT,100.0,0.3818,19.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_4.png
Maricopa AZ SE Valley,33.186094,-111.54942,-0.491,615,15.2,94,ACTIVE DEVELOPMENT,100.0,0.3185,20.4,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_5.png
Maricopa AZ SE Valley,33.285256,-111.83849,-0.692,208,5.14,94,ACTIVE DEVELOPMENT,100.0,0.3322,21.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_6.png
Maricopa AZ SE Valley,33.170989,-111.847536,-0.59,456,11.27,93,ACTIVE DEVELOPMENT,100.0,0.4228,23.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_7.png
Maricopa AZ SE Valley,33.226184,-111.894536,-0.594,435,10.75,93,ACTIVE DEVELOPMENT,100.0,0.5295,24.4,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_8.png
Maricopa AZ SE Valley,33.184778,-111.551882,-0.523,2368,58.51,92,ACTIVE DEVELOPMENT,100.0,0.3962,27.2,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_9.png
Maricopa AZ SE Valley,33.208077,-111.886332,-0.555,1963,48.51,92,ACTIVE DEVELOPMENT,100.0,0.4449,25.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_10.png
Maricopa AZ SE Valley,33.208222,-111.89045,-0.536,1870,46.21,92,ACTIVE DEVELOPMENT,100.0,0.4393,28.0,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_11.png
Maricopa AZ SE Valley,33.208111,-111.882229,-0.498,625,15.44,92,ACTIVE DEVELOPMENT,100.0,0.379,25.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_12.png
Maricopa AZ SE Valley,33.169352,-111.847869,-0.643,511,12.63,92,ACTIVE DEVELOPMENT,100.0,0.4702,25.4,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_13.png
