County,Site #,Latitude,Longitude,Acres,NDVI Change,Size Category,Google Maps URL
Maricopa AZ SE Valley,16,33.169352,-111.847869,12.63,-0.643,Large (10+ ac),"https://www.google.com/maps?q=33.169352,-111.847869"
Maricopa AZ SE Valley,17,33.329915,-111.690562,12.48,-0.465,Large (10+ ac),"https://www.google.com/maps?q=33.329915,-111.690562"
Maricopa AZ SE Valley,18,33.170989,-111.847536,11.27,-0.59,Large (10+ ac),"https://www.google.com/maps?q=33.170989,-111.847536"
Maricopa AZ SE Valley,19,33.226184,-111.894536,10.75,-0.594,Large (10+ ac),"https://www.google.com/maps?q=33.226184,-111.894536"
Maricopa AZ SE Valley,20,33.236097,-111.616345,10.3,-0.785,Large (10+ ac),"https://www.google.com/maps?q=33.236097,-111.616345"
Maricopa AZ SE Valley,21,33.259505,-111.687686,9.98,-0.427,Medium (5-10 ac),"https://www.google.com/maps?q=33.259505,-111.687686"
Maricopa AZ SE Valley,22,33.256458,-111.68398,8.85,-0.529,Medium (5-10 ac),"https://www.google.com/maps?q=33.256458,-111.68398"
Maricopa AZ SE Valley,23,33.324349,-111.748359,8.33,-0.348,Medium (5-10 ac),"https://www.google.com/maps?q=33.324349,-111.748359"
Maricopa AZ SE Valley,24,33.408149,-111.896713,8.3,-0.426,Medium (5-10 ac),"https://www.google.com/maps?q=33.408149,-111.896713"
Maricopa AZ SE Valley,25,33.207161,-111.869557,8.15,-0.327,Medium (5-10 ac),"https://www.google.com/maps?q=33.207161,-111.869557"
Maricopa AZ SE Valley,26,33.215831,-111.555114,7.83,-0.37,Medium (5-10 ac),"https://www.google.com/maps?q=33.215831,-111.555114"
Maricopa AZ SE Valley,27,33.254241,-111.684974,7.76,-0.597,Medium (5-10 ac),"https://www.google.com/maps?q=33.254241,-111.684974"
Maricopa AZ SE Valley,28,33.326898,-111.689036,7.71,-0.477,Medium (5-10 ac),"https://www.google.com/maps?q=33.326898,-111.689036"
Maricopa AZ SE Valley,29,33.197819,-111.797131,6.47,-0.63,Medium (5-10 ac),"https://www.google.com/maps?q=33.197819,-111.797131"
Maricopa AZ SE Valley,30,33.239591,-111.585213,6.28,-0.453,Medium (5-10 ac),"https://www.google.com/maps?q=33.239591,-111.585213"
Maricopa AZ SE Valley,31,33.265464,-111.719218,6.08,-0.393,Medium (5-10 ac),"https://www.google.com/maps?q=33.265464,-111.719218"
Maricopa AZ SE Valley,32,33.294184,-111.622229,5.56,-0.398,Medium (5-10 ac),"https://www.google.com/maps?q=33.294184,-111.622229"
Maricopa AZ SE Valley,33,33.285256,-111.83849,5.14,-0.692,Medium (5-10 ac),"https://www.google.com/maps?q=33.285256,-111.83849"
Maricopa AZ SE Valley,34,33.266001,-111.778958,4.77,-0.367,Small (2-5 ac),"https://www.google.com/maps?q=33.266001,-111.778958"
Maricopa AZ SE Valley,35,33.295003,-111.623779,4.13,-0.4,Small (2-5 ac),"https://www.google.com/maps?q=33.295003,-111.623779"
Maricopa AZ SE Valley,36,33.31982,-111.702727,3.9,-0.442,Small (2-5 ac),"https://www.google.com/maps?q=33.31982,-111.702727"
Maricopa AZ SE Valley,37,33.26687,-111.778585,3.19,-0.427,Small (2-5 ac),"https://www.google.com/maps?q=33.26687,-111.778585"
Maricopa AZ SE Valley,38,33.234251,-111.90027,2.84,-0.548,Small (2-5 ac),"https://www.google.com/maps?q=33.234251,-111.90027"
Maricopa AZ SE Valley,39,33.239446,-111.587761,2.67,-0.48,Small (2-5 ac),"https://www.google.com/maps?q=33.239446,-111.587761"
Maricopa AZ SE Valley,40,33.184021,-111.558482,2.67,-0.588,Small (2-5 ac),"https://www.google.com/maps?q=33.184021,-111.558482"
Maricopa AZ SE Valley,41,33.366942,-111.801813,2.62,-0.444,Small (2-5 ac),"https://www.google.com/maps?q=33.366942,-111.801813"
Maricopa AZ SE Valley,42,33.314347,-111.707721,2.57,-0.462,Small (2-5 ac),"https://www.google.com/maps?q=33.314347,-111.707721"
Maricopa AZ SE Valley,43,33.277142,-111.834045,2.5,-0.39,Small (2-5 ac),"https://www.google.com/maps?q=33.277142,-111.834045"
Maricopa AZ SE Valley,44,33.209311,-111.869175,2.4,-0.369,Small (2-5 ac),"https://www.google.com/maps?q=33.209311,-111.869175"
Maricopa AZ SE Valley,45,33.239274,-111.770461,2.37,-0.498,Small (2-5 ac),"https://www.google.com/maps?q=33.239274,-111.770461"
